namespace,pvc,phase,storage_class,access_modes,requested_size,pv,csi_driver,longhorn_desired_replicas,longhorn_state,longhorn_robustness,replica_objects,running_nonfailed_replica_count,replica_physical_hosts,consumers,backup_policy,backup_exempt,backup_exempt_reason,last_success,backup_age_hours,backup_cron,schedule_consecutive_failures,latest_snapshot_state,latest_snapshot_failure_class
project-nomad,mysql-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-19bd53c0-edf4-4960-bfde-c3e452179e77,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:25Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""mysql-6c867d4dbd-t5njf""]",mysql-data,,,2026-09-08T03:51:32.605867884+00:00,19.84,49 3 * * *,0,Succeeded,
project-nomad,nomad-storage,Bound,longhorn,"[""ReadWriteOnce""]",120Gi,pvc-3873d96d-c285-432e-b9c9-c384cca97e0b,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:01Z"", ""healthy_at"": ""2026-09-05T22:39:53Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""kiwix-6bf498b879-wll5v"", ""project-nomad-67ccb5cd5-pnz72""]",,true,Bulk project-nomad scratch storage; owner-declared disposable 2026-06-12. 120G src clones were the slowest movers in DR. Rebuilds start empty by design.,,,,,,
project-nomad,protomaps-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-ed2cfd70-a8e1-4787-b8ff-cea119a59482,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:24:40Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""protomaps-7dc6fdf6c-xpvdf""]",,true,Protomaps tile data; downloadable from upstream protomaps.com builds,,,,,,
project-nomad,qdrant-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-aa5ae579-d353-4f02-b3cb-6a6abfaaeec0,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:01:57Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""qdrant-c9bb9c7d7-94ddt""]",qdrant-data,,,2026-09-08T03:28:31.776109495+00:00,20.22,27 3 * * *,0,Succeeded,
project-zomboid,zomboid-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-6b6aa445-a6e8-4a9e-8fa2-c33a92007fe9,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:36Z"", ""active"": true}]",0,"[""dell/192.168.10.16""]",[],zomboid-data,,,2026-09-08T03:31:28.812959737+00:00,20.18,29 3 * * *,0,Succeeded,
project-zomboid,zomboid-server-files,Bound,longhorn,"[""ReadWriteOnce""]",60Gi,pvc-5eb68202-7e6a-4aa2-8af8-edd087eb9048,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:36:56Z"", ""healthy_at"": ""2026-09-05T23:12:00Z"", ""active"": true}]",0,"[""hp-elite-mini/192.168.10.22""]",[],,true,SteamCMD-installed game files; rebuildable via the existing SteamCMD pre-warm path,,,,,,
prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",5Gi,pvc-17f98b89-649f-415d-820b-81fb98891c6a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:45:11Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""alertmanager-kube-prometheus-stack-alertmanager-0""]",,true,Alertmanager silences are operator-set; trivially recreated,,,,,,
prometheus-stack,kube-prometheus-stack-grafana,Bound,longhorn-flash,"[""ReadWriteOnce""]",10Gi,pvc-0fe00b37-13d6-4237-b74b-886051ea6a27,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:38Z"", ""healthy_at"": ""2026-08-24T12:45:17Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""kube-prometheus-stack-grafana-67f4d54956-bjskb""]",,true,Dashboards/datasources are GitOps-managed; only user prefs in PVC,,,,,,
prometheus-stack,prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",50Gi,pvc-1f59f09f-270b-4aef-b526-eb6a96fd39d3,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:45:12Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""prometheus-kube-prometheus-stack-prometheus-0""]",,true,Prometheus metrics are re-scrapeable; monitoring data not worth backup pipeline overhead,,,,,,
radar-ng,grids,Bound,longhorn-flash,"[""ReadWriteOnce""]",20Gi,pvc-54baf14c-a689-40d0-ad66-e3db91a722f5,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T01:07:13Z"", ""healthy_at"": ""2026-09-03T05:11:44Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""radar-ng-worker-alerts-v1-1-30-45c4-8567bd8d5d-wtww4"", ""radar-ng-worker-aux-v1-1-30-5f9b-96ff7b4-nb2cd"", ""radar-ng-worker-hrrr-v1-1-30-54df-786fd8f949-hsscd"", ""radar-ng-worker-mrms-v1-1-30-b55f-866d77c5df-qfrlb"", ""radar-ng-worker-nowcast-v1-1-30-b49b-6845c67f7c-4tzb9"", ""tile-server-56859cc6bc-2dpd2""]",,true,MRMS NetCDF grids; re-fetchable from upstream MRMS within retention window,,,,,,
radar-ng,openmeteo-data,Bound,longhorn,"[""ReadWriteOnce""]",30Gi,pvc-7a2d3c9d-b400-4b08-a472-58f89343827a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:40:49Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""open-meteo-567959d85d-8kr8f""]",,true,Open-Meteo numerical weather data cache; re-fetchable from open-meteo.com API,,,,,,
radar-ng,pmtiles,Bound,longhorn-flash,"[""ReadWriteOnce""]",50Gi,pvc-d5bdd3a0-ff65-47e4-a970-e085ccc15f07,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-09-03T05:11:45Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""basemap-c67586498-5rtff""]",,true,Protomaps basemap extract; rebuildable by re-running basemap-bootstrap Job from a build.protomaps.com daily build,,,,,,
radar-ng,state,Bound,longhorn-flash,"[""ReadWriteOnce""]",5Gi,pvc-a2cda367-f132-41dc-ab8a-c9ff06950579,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T01:07:13Z"", ""healthy_at"": ""2026-09-03T05:11:45Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""radar-ng-worker-alerts-v1-1-30-45c4-8567bd8d5d-wtww4"", ""radar-ng-worker-aux-v1-1-30-5f9b-96ff7b4-nb2cd"", ""radar-ng-worker-hrrr-v1-1-30-54df-786fd8f949-hsscd"", ""radar-ng-worker-mrms-v1-1-30-b55f-866d77c5df-qfrlb"", ""radar-ng-worker-nowcast-v1-1-30-b49b-6845c67f7c-4tzb9"", ""tile-server-56859cc6bc-2dpd2""]",,true,"Transient ingestion state (last-seen timestamps, partial frames); regenerates on next pull",,,,,,
radar-ng,tiles,Bound,longhorn-flash,"[""ReadWriteOnce""]",100Gi,pvc-ef1baa9e-0b99-40e8-b748-36d05473fc23,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:38Z"", ""healthy_at"": ""2026-09-03T05:11:45Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""radar-ng-worker-aux-v1-1-30-5f9b-96ff7b4-nb2cd"", ""radar-ng-worker-hrrr-v1-1-30-54df-786fd8f949-hsscd"", ""radar-ng-worker-mrms-v1-1-30-b55f-866d77c5df-qfrlb"", ""radar-ng-worker-nowcast-v1-1-30-b49b-6845c67f7c-4tzb9"", ""tile-server-56859cc6bc-2dpd2""]",,true,PNG/MVT tiles generated from grids/; rebuildable by re-running tile generation,,,,,,
redis-instance,redis-master-0,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-92e09cda-974e-47c1-835b-47bd1e078d79,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:04Z"", ""healthy_at"": ""2026-09-05T19:45:09Z"", ""active"": true}, {""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": """", ""active"": true}]",2,"[""hp-elite-mini/192.168.10.22"", ""threadripper/192.168.10.14""]","[""redis-master-0""]",,true,"Redis persistence is disposable/cache-like in this homelab (paperless Celery broker + redis-commander UI; system-of-record is paperless data/media PVCs + paperless-postgres, all kopiur-backed); do not back up.",,,,,,
restore-canary,restore-canary-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-3b35ad73-6945-41fb-886c-1479b23e317f,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:24:05Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""restore-canary-85b4598d84-86bn5""]",restore-canary-data,,,2026-09-08T03:44:34.998305378+00:00,19.96,43 3 * * *,0,Succeeded,
searxng,redis-data,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-d1e58c0a-65ba-4880-b904-3f70789aaa8d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:09:41Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""redis-5cc98cb4d8-wtkzw""]",,true,SearxNG Redis cache for query results; ephemeral by design,,,,,,
surfsense,surfsense-object-store,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-2f81433c-49ea-4838-af79-a3f7ed78179b,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:40:20Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""surfsense-5fd4bb4546-qs28j""]",surfsense-object-store,,,2026-09-08T04:00:34.425114515+00:00,19.69,59 3 * * *,0,Succeeded,
surfsense,surfsense-postgres-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-f523cd0b-2eac-4016-ac7c-47c6d7052f8a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:33:06Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""surfsense-postgres-f7d65b94d-ggkbg""]",surfsense-postgres-data,,,2026-09-08T22:48:44.837340896+00:00,0.89,47 * * * *,0,Succeeded,
surfsense,surfsense-redis-data,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-6b82c824-8477-43a4-9f7b-c02eed01a0f0,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:37Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""surfsense-redis-76c4cf67d-89km8""]",,true,Redis is Celery broker/cache state and is disposable,,,,,,
swarmui,swarmui-comfyui-models,Bound,nfs-comfyui-10g,"[""ReadWriteMany""]",250Gi,swarmui-comfyui-models-nfs-pv,nfs.csi.k8s.io,,,,[],0,[],[],,true,"Shared NFS-backed ComfyUI model cache (same NAS share as comfyui app); non-snapshottable, rebuildable",,,,,,
swarmui,swarmui-data,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-68631228-56b1-4f7b-816c-0991387844e8,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:17Z"", ""active"": true}]",0,"[""dell/192.168.10.16""]",[],,true,SwarmUI unused (never put into service); not worth backing up. Re-add a kopiur stub + dataSourceRef if it's ever adopted.,,,,,,
swarmui,swarmui-dlbackend,Bound,longhorn,"[""ReadWriteOnce""]",40Gi,pvc-0693f5ea-ccf2-41c0-89e8-651c091e5e1e,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:36:56Z"", ""healthy_at"": ""2026-09-05T23:15:00Z"", ""active"": true}]",0,"[""hp-elite-mini/192.168.10.22""]",[],,true,"SwarmUI auto-installs ComfyUI + Python/torch venv here on first run; fully rebuildable from upstream, intentionally not backed up",,,,,,
swarmui,swarmui-output,Bound,longhorn,"[""ReadWriteOnce""]",50Gi,pvc-ce14a84a-d365-41b8-ab66-87efb3d3c842,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:31Z"", ""active"": true}]",0,"[""hp-medium/192.168.10.21""]",[],,true,"SwarmUI generated-image output dir; regenerable. Longhorn volume faulted 2026-06-27, salvage + re-enable backup if desired.",,,,,,
temporal,temporal-postgres-data,Bound,longhorn-wired-ha,"[""ReadWriteOnce""]",10Gi,pvc-3a7fc628-7363-440d-a59c-0cc833c72c66,driver.longhorn.io,2,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:27Z"", ""active"": true}, {""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:39:36Z"", ""healthy_at"": ""2026-09-08T23:40:47Z"", ""active"": true}]",2,"[""hp-elite-mini/192.168.10.22"", ""hp-medium/192.168.10.21""]","[""temporal-postgres-6c4c7b56f9-8p8ht""]",temporal-postgres-data,,,2026-09-08T23:08:24.088844915+00:00,0.56,6 * * * *,0,Succeeded,
tubesync,config-pvc,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-b4774e86-b220-4c02-b630-83c5e274702d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": """", ""active"": true}, {""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:04Z"", ""healthy_at"": ""2026-09-05T19:37:04Z"", ""active"": true}]",2,"[""hp-elite-mini/192.168.10.22"", ""threadripper/192.168.10.14""]","[""tubesync-5ff7bd4788-gj5xc""]",config-pvc,,,2026-09-08T03:43:01.958591771+00:00,19.98,39 3 * * *,0,Succeeded,
tubesync,media-pvc,Bound,tubearchivist-smb,"[""ReadWriteMany""]",1Ti,pvc-a3ddf364-3391-4d31-961c-c3f77e9000d0,smb.csi.k8s.io,,,,[],0,[],"[""tubesync-5ff7bd4788-gj5xc""]",,true,"SMB-backed YouTube archive (TubeArchivist); non-snapshottable, rebuildable via tubesync re-fetch",,,,,,
versatiles,map-data-smb,Bound,,"[""ReadWriteMany""]",150Gi,versatiles-smb-pv,smb.csi.k8s.io,,,,[],0,[],"[""versatiles-5d784cc849-9lgb2""]",,true,"lives on the TrueNAS k8s/versatiles SMB share, which is itself the durable cross-rebuild copy; also re-downloadable from download.versatiles.org (sha256-verified) if the NAS copy is lost",,,,,,
vllm,ai-model-cache-vllm,Bound,ai-model-cache-local,"[""ReadWriteOnce""]",60Gi,ai-model-cache-vllm-local,,,,,[],0,[],"[""vllm-server-7b9b959458-2jz4z""]",,true,Node-local safetensors cache; reproducible from the NFS source PVC,,,,,,
vllm,vllm-compile-cache,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-f7500d52-d21f-4bfb-825d-0310d8df2d4c,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-06T06:53:35Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""vllm-server-7b9b959458-2jz4z""]",,true,Regenerable torch.compile/Triton kernel cache; rebuilt automatically on first boot after loss,,,,,,
vllm,vllm-download-models,Bound,,"[""ReadWriteMany""]",1Ti,vllm-download-nfs-pv,nfs.csi.k8s.io,,,,[],0,[],[],,true,Public revision-pinned model archive; fully reproducible from Hugging Face and the committed SHA-256 manifest,,,,,,
vllm,vllm-models-pvc,Bound,,"[""ReadOnlyMany""]",1Ti,vllm-nfs-pv,nfs.csi.k8s.io,,,,[],0,[],[],,true,"NFS-backed vLLM model cache (AWQ/compressed-tensors safetensors); non-snapshottable, rebuildable via `hf download`",,,,,,
worldmonitor,worldmonitor-redis-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-07123fc1-9f14-4b4d-b237-ecca22a16c8a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:21:56Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""worldmonitor-redis-8556ffdd-s75qb""]",,true,Redis cache data — reseeded from upstream sources on demand,,,,,,
