namespace,pvc,phase,storage_class,access_modes,requested_size,pv,csi_driver,longhorn_desired_replicas,longhorn_state,longhorn_robustness,replica_objects,running_nonfailed_replica_count,replica_physical_hosts,consumers,backup_policy,backup_exempt,backup_exempt_reason,last_success,backup_age_hours,backup_cron,schedule_consecutive_failures,latest_snapshot_state,latest_snapshot_failure_class
kube-system,registry,Bound,longhorn,"[""ReadWriteOnce""]",50Gi,pvc-6854c0fd-8fee-475d-aefc-d6e03cc1684a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:38Z"", ""healthy_at"": ""2026-09-06T04:01:38Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""registry-d7b76b88-fr66q""]",,,,,,,,,
langfuse,langfuse-clickhouse-data,Bound,longhorn,"[""ReadWriteOnce""]",50Gi,pvc-34cc39f2-4346-47d6-b288-edc38e7ff414,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T03:04:52Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""langfuse-clickhouse-6664bd776c-c5l6l""]",langfuse-clickhouse-data,,,2026-09-08T23:23:27.385339644+00:00,0.31,18 * * * *,0,Succeeded,
langfuse,langfuse-postgres-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-38edd95b-3755-46da-8741-4ae81db625ac,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T17:24:59Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""langfuse-postgres-6886646499-pp5fn""]",langfuse-postgres-data,,,2026-09-08T23:20:02.032598514+00:00,0.37,16 * * * *,0,Succeeded,
langfuse,langfuse-redis-data,Bound,longhorn,"[""ReadWriteOnce""]",8Gi,pvc-4903626a-dacf-4a41-a5b0-c3f55d5a7686,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T03:03:55Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""langfuse-redis-5f4b8c5c75-qhgkq""]",,true,"Disposable Langfuse cache/job queue; AOF survives restarts, but queued jobs can be lost on total volume loss.",,,,,,
llama-cpp,ai-model-cache,Bound,ai-model-cache-local,"[""ReadWriteOnce""]",450Gi,ai-model-cache-local,,,,,[],0,[],[],,true,Node-local GGUF cache; reproducible from the NFS source PVC,,,,,,
llama-cpp,llama-cpp-models-pvc,Bound,nfs-llama-cpp-10g,"[""ReadWriteMany""]",150Gi,llama-cpp-nfs-pv,nfs.csi.k8s.io,,,,[],0,[],[],,true,"NFS-backed LLM model cache (GGUF files); non-snapshottable, rebuildable via huggingface-cli",,,,,,
loki-stack,data-loki-backend-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",10Gi,pvc-dd874bdb-abcc-47a5-8009-f78353d91c51,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:45:11Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""loki-backend-0""]",,,,,,,,,
loki-stack,data-loki-write-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",10Gi,pvc-dcb21e50-afab-4acf-b117-5e9051a9a656,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:37:45Z"", ""healthy_at"": ""2026-08-24T12:45:11Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""loki-write-0""]",,,,,,,,,
n8n,data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-f8fd7d9d-c62a-42ff-9277-93c175f40899,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:01Z"", ""healthy_at"": ""2026-09-05T22:44:35Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""n8n-845bb75cf7-qg78s""]",data,,,2026-09-08T23:18:51.973046383+00:00,0.39,17 * * * *,0,Succeeded,
nginx-example,storage,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-fd7bd026-ff8a-4a9b-a2e6-85c056357285,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:22:38Z"", ""active"": true}]",0,"[""dell/192.168.10.16""]",[],storage,,,2026-09-08T03:47:22.900060636+00:00,19.91,45 3 * * *,0,Succeeded,
