namespace,claim,phase,storage_class,requested_storage,csi_driver,backup_exempt,replicas,robustness,engine_node,replica_zones
paperless-ngx,paperless-postgres-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
perplexica,perplexica-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
posthog,clickhouse-data-clickhouse-0,Bound,longhorn-flash,40Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
posthog,postgres-data,Bound,longhorn-flash,8Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
posthog,redis7-data,Bound,longhorn-flash,4Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
posthog,redpanda-data-kafka-0,Bound,longhorn-flash,8Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
presenton,presenton-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
project-nomad,embeddings-model-cache,Bound,longhorn,2Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
project-nomad,flatnotes-data,Bound,longhorn,5Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
project-nomad,mysql-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
project-nomad,nomad-storage,Bound,longhorn,120Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
project-nomad,protomaps-data,Bound,longhorn,20Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
project-nomad,qdrant-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
project-zomboid,zomboid-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,unknown,,house
project-zomboid,zomboid-server-files,Bound,longhorn,60Gi,driver.longhorn.io,True,1,unknown,,dell
prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0,Bound,longhorn-flash,5Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
prometheus-stack,kube-prometheus-stack-grafana,Bound,longhorn-flash,10Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,house
prometheus-stack,prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0,Bound,longhorn-flash,50Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,house
radar-ng,grids,Bound,longhorn-flash,20Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
radar-ng,openmeteo-data,Bound,longhorn,30Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
radar-ng,pmtiles,Bound,longhorn-flash,50Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
radar-ng,state,Bound,longhorn-flash,5Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
radar-ng,tiles,Bound,longhorn-flash,100Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
redis-instance,redis-master-0,Bound,longhorn,10Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
restore-canary,restore-canary-data,Bound,longhorn,1Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
searxng,redis-data,Bound,longhorn,5Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
surfsense,surfsense-object-store,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
surfsense,surfsense-postgres-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
surfsense,surfsense-redis-data,Bound,longhorn,2Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
swarmui,swarmui-comfyui-models,Bound,nfs-comfyui-10g,250Gi,nfs.csi.k8s.io,True,,,,
swarmui,swarmui-data,Bound,longhorn,5Gi,driver.longhorn.io,True,1,unknown,,hp-sff
swarmui,swarmui-dlbackend,Bound,longhorn,40Gi,driver.longhorn.io,True,1,unknown,,dell
swarmui,swarmui-output,Bound,longhorn,50Gi,driver.longhorn.io,True,1,unknown,,hp-sff
temporal,temporal-postgres-data,Bound,longhorn-wired-ha,10Gi,driver.longhorn.io,False,2,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,"dell,hp-elite"
temporal,temporal-postgres-data-hourly-20260905180600-src,Bound,longhorn-kopiur-staging-local,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-elite
tubesync,config-pvc,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
tubesync,media-pvc,Bound,tubearchivist-smb,1Ti,smb.csi.k8s.io,True,,,,
versatiles,map-data-smb,Bound,,150Gi,smb.csi.k8s.io,True,,,,
vllm,ai-model-cache-vllm,Bound,ai-model-cache-local,60Gi,,True,,,,
vllm,vllm-compile-cache,Bound,longhorn,10Gi,driver.longhorn.io,True,1,unknown,,house
vllm,vllm-models-pvc,Bound,,1Ti,nfs.csi.k8s.io,True,,,,
worldmonitor,worldmonitor-redis-data,Bound,longhorn,1Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
